Company,cik
2U INC,0001338219
30DC INC,0001118974
3D PIONEER SYSTEMS INC,0001556753
8X8 INC,0001023731
A10 NETWORKS INC,0001580808
ACI WORLDWIDE INC,0000935036
ACTUA CORP,0001085621
ADEXA INC,0001119691
ADOBE INC,0000796343
ADVANCED VOICE RECOGNITION,0001342936
ADVANT-E CORP,0001407847
ADVANTEGO CORP,0000869531
AGILYSYS INC,0000078749
ALARM.COM HOLDINGS INC,0001459200
ALLDIGITAL HOLDINGS INC,0001389217
ALTAIR ENGINEERING INC,0001701732
ALTERYX INC,0001689923
AMERICAN SECURITY RES CORP,0001085069
AMERICAN SOFTWARE  -CL A,
ANAPLAN INC,0001540755
ANSYS INC,0001013462
APPFOLIO INC,0001433195
APPIAN CORP,0001441683
APPLIED VISUAL SCIENCES INC,0000873198
APT SYSTEMS INC,0001543739
ASANA INC,0001477720
ASPEN TECHNOLOGY INC,0000356942
ASURE SOFTWARE INC,0000884144
AUDIOEYE INC,0001362190
AUTODESK INC,0000769397
AUTOMATIC DATA PROCESSING,0000008670
AVALARA INC,0001348036
AVAYA HLDGS CORP,
AWARE INC,0000845188
BARRACUDA NETWORKS INC,0001348334
BENEFITFOCUS INC,0001576169
BENTLEY SYSTEMS INC,0001031308
BIGCOMMERCE HOLDIN INC,0001626450
BILL.COM HOLDINGS INC,0001786352
BIO-KEY INTERNATIONAL INC,
BLACK BOX CORP,0000849547
BLACKBAUD INC,0001280058
BLACKBOXSTOCKS INC,0001567900
BLACKLINE INC,0001666134
BLAQCLOUDS INC,
BOTTOMLINE TECHNOLOGIES INC,0001073349
BOX INC,0001372612
BOXLIGHT CORP,0001624512
BRAVATEK SOLUTIONS INC,0001449574
BRIDGELINE DIGITAL INC,0001378590
BRIDGEWAY NATIONAL CORP,0001567771
B-SCADA INC,0001341878
BSQUARE CORP,0001054721
BUSYBOX.COM INC,
CADENCE DESIGN SYSTEMS INC,0000813672
CDK GLOBAL INC,0001609702
CERENCE INC,0001768267
CERIDIAN CORP,0000109758
CERIDIAN HCM HOLDING,0001725057
CHANGSHENG INTERNATIONAL GRO,0001451797
CHANNELADVISOR CORP,0001172721
CHINA YANYUN YHU NTL ED GRP,
CICERO INC,0000945384
CIMETRIX INC,0001395938
CIPHERLOC CORP,0001022505
CITRIX SYSTEMS INC,0000877890
CLEANSPARK INC,0000827876
CLICKSTREAM CORP,0001393548
CLONE ALGO TECHNOLOGIES INC,0001582589
CLOUDERA INC,0001535379
CLOUDFLARE INC,0001477333
CLOUDWARD INC,
CODE REBEL CORP,0001613011
COM GUARD.COM INC,
COMMVAULT SYSTEMS INC,0001169561
CORNERSTONE ONDEMAND INC,0001401680
COUPA SOFTWARE INC,0001385867
CROWDSTRIKE HOLDINGS INC,0001535527
CYBERFORT SOFTWARE INC,0001522787
CYREN LTD,0001084577
DATADOG INC,0001561550
DATTO HOLDING CORP,0001724570
DEALERADVANCE INC,0001133598
DIGILITI MONEY GROUP INC,0001487906
DIGIMARC CORP,0001438231
DIGITAL TURBINE INC,0000317788
DOCUSIGN INC,0001261333
DOMO INC,0001129236
DROPBOX INC,0001467623
DUCK CREEK TECHNOL INC,0001160951
DYNATRACE INC,0001773383
E2OPEN INC,0001540400
EBIX INC,0000814549
ECOARK HOLDINGS INC,0001437491
EGAIN CORP,0001066194
ELASTIC NETWORKS INC,0001088242
ELASTIC NV,
ELCOM INTERNATIONAL INC,0000900096
ENTERPRISE INFORMATICS INC,0000813747
ENVESTNET INC,0001337619
EVERBRIDGE INC,0001437352
EVOLVING SYSTEMS INC,0001052054
EZENIA INC,0000943894
FAIR ISAAC CORP,0000814547
FALCONSTOR SOFTWARE INC,0000922521
FANTASY ACES DAILY FANTASY,0001653115
FASTLY INC,0001517413
FIREEYE INC,0001370880
FIVE9 INC,0001288847
FLEXSHARES IBOXX 3-YR TAR FD,
FLEXSHARES IBOXX 5-YR TAR FD,
FORTINET INC,0001262039
FRIENDFINDER NETWORKS INC,0001451951
GIVEMEPOWER CORP,0001064722
GRANDPARENTS.COM INC,0001020475
GREEN POLKADOT BOX INC,0001159464
GSE SYSTEMS INC,0000944480
GTY TECHNOLOGY HOLDINGS,0001682325
GUIDEWIRE SOFTWARE INC,0001528396
HOPTO INC,0001021435
HRSOFT INC,
HUBSPOT INC,0001404655
IBSG INTERNATIONAL INC,0001031905
IDEANOMICS INC,0000837852
IMAGEWARE SYSTEMS INC,0000941685
INFORMATION RESOURCES INC,0000714278
INTEGRATED BUSINESS SYS &SVC,
INTELLIGENT SYSTEM CORP,0000320340
INTELLINETICS INC,0001081745
INTERMAP TECHNOLOGIES CORP,0001285170
INTERNATIONAL LEADERS CAP CO,0001470550
INTRUSION INC,0000736012
INTUIT INC,0000896878
INUVO INC,0000829323
IRONCLAD ENCRYPTION CORP,0001455926
ISHARES IBOXX HIGH YLD CP BD,
ISHARES IBOXX INVST GR CP BD,
ISIGN SOLUTIONS INC,0000727634
ISOCIALY INC,0001716726
ISSUER DIRECT CORP,0000843006
IVEDA SOLUTIONS INC,0001397183
J2 GLOBAL INC,0001084048
JACK IN THE BOX INC,0001064030
JAMF HOLDING CORP,0001721947
JDA SOFTWARE GROUP INC,0001006892
JFROG LTD,0001800667
KIWIBOX COM INC,0000838796
KRONOS INC,0001257640
LAWSON SOFTWARE INC,0001141517
LEVELBLOX INC,0001473654
LIQUI-BOX CORP,
LIQUID HOLDINGS GROUP INC,0001562594
LIVE MICROSYSTEMS INC,
LIVEPERSON INC,0001102993
MAIL BOXES ETC,0000791014
MANHATTAN ASSOCIATES INC,0001056696
MARIN SOFTWARE INC,0001389002
MAX SOUND CORP,0001353499
MEDALLIA INC,0001540184
MEDALLIANCE INC,
MEDIATECHNICS CORP,
MGT CAPITAL INVESTMENTS INC,0001001601
MICROSOFT CORP,0000789019
MICROSTRATEGY INC,0001050446
MITEK SYSTEMS INC,0000807863
MIX TELEMATICS LTD,0001576914
MOBILEIRON INC,0001470099
MODEL N INC,0001118417
MONGODB INC,0001441816
MONSTER ARTS,0001423746
NCINO INC,0001902733
NEOMEDIA TECHNOLOGIES INC,0001022701
NETSOL TECHNOLOGIES INC,0001039280
NEW RELIC INC,0001448056
NORTONLIFELOCK INC,0000849399
NOTIFY TECHNOLOGY CORP,0001031980
NUANCE COMMUNICATIONS INC,0001002517
NUTANIX INC,0001618732
OBLONG INC,0000746210
OKTA INC,0001660134
OMTOOL LTD,0001020579
ONESPAN INC,0001044777
ORACLE CORP,0001341439
PAGERDUTY INC,0001568100
PAID INC,0001017655
PALANTIR TECHNOLOG INC,0001321655
PALO ALTO NETWORKS INC,0001327567
PARETEUM CORP,0001084384
PARK CITY GROUP INC,0000050471
PAYBOX CORP,0000879703
PAYCHEX INC,0000723531
PAYCOM SOFTWARE INC,0001590955
PAYLOCITY HOLDING CORP,0001591698
PEGASYSTEMS INC,0001013857
PHUNWARE INC,0001665300
PING IDENTITY HOLDING CORP,0001679826
PLURALSIGHT INC,0001725579
PRIMAL SOLUTIONS INC,0001124217
PROGRESS SOFTWARE CORP,0000876167
PROOFPOINT INC,0001212458
PROS HOLDINGS INC,0001392972
PTC INC,0000857005
PULSE EVOLUTION CORP,0001583138
Q2 HOLDINGS INC,0001410384
QAD INC,0001036188
QUALYS INC,0001107843
QUANTGATE SYSTEMS INC,
QUMU CORP,0000892482
RAADR INC,0001384365
RAND WORLDWIDE INC,0000852437
RAPID7 INC,0001560327
REALNETWORKS INC,0001046327
REALPAGE INC,0001286225
RIGHTSCORP INC,0001506270
RINGCENTRAL INC,0001384905
RIOT BLOCKCHAIN INC,0001167419
ROCKETFUEL BLOCKCHAIN INC,0000823546
