Company,cik
2U INC,0001338219
30DC INC,0001118974
3D PIONEER SYSTEMS INC,0001556753
8X8 INC,0001023731
A10 NETWORKS INC,0001580808
ACI WORLDWIDE INC,0000935036
ACTUA CORP,0001085621
ADEXA INC,0001119691
ADOBE INC,0000796343
ADVANCED VOICE RECOGNITION,0001342936
ADVANT-E CORP,0001407847
ADVANTEGO CORP,0000869531
AGILYSYS INC,0000078749
ALARM.COM HOLDINGS INC,0001459200
ALLDIGITAL HOLDINGS INC,0001389217
ALTAIR ENGINEERING INC,0001701732
ALTERYX INC,0001689923
AMERICAN SECURITY RES CORP,0001085069
AMERICAN SOFTWARE  -CL A,
ANAPLAN INC,
ANSYS INC,
APPFOLIO INC,
APPIAN CORP,
APPLIED VISUAL SCIENCES INC,
APT SYSTEMS INC,
ASANA INC,
ASPEN TECHNOLOGY INC,
ASURE SOFTWARE INC,
AUDIOEYE INC,
AUTODESK INC,
AUTOMATIC DATA PROCESSING,
AVALARA INC,
AVAYA HLDGS CORP,
AWARE INC,
BARRACUDA NETWORKS INC,
BENEFITFOCUS INC,
BENTLEY SYSTEMS INC,
BIGCOMMERCE HOLDIN INC,
BILL.COM HOLDINGS INC,
BIO-KEY INTERNATIONAL INC,
BLACK BOX CORP,
BLACKBAUD INC,
BLACKBOXSTOCKS INC,
BLACKLINE INC,
BLAQCLOUDS INC,
BOTTOMLINE TECHNOLOGIES INC,
BOX INC,
BOXLIGHT CORP,
BRAVATEK SOLUTIONS INC,
BRIDGELINE DIGITAL INC,
BRIDGEWAY NATIONAL CORP,
B-SCADA INC,
BSQUARE CORP,
BUSYBOX.COM INC,
CADENCE DESIGN SYSTEMS INC,
CDK GLOBAL INC,
CERENCE INC,
CERIDIAN CORP,
CERIDIAN HCM HOLDING,
CHANGSHENG INTERNATIONAL GRO,
CHANNELADVISOR CORP,
CHINA YANYUN YHU NTL ED GRP,
CICERO INC,
CIMETRIX INC,
CIPHERLOC CORP,
CITRIX SYSTEMS INC,
CLEANSPARK INC,
CLICKSTREAM CORP,
CLONE ALGO TECHNOLOGIES INC,
CLOUDERA INC,
CLOUDFLARE INC,
CLOUDWARD INC,
CODE REBEL CORP,
COM GUARD.COM INC,
COMMVAULT SYSTEMS INC,
CORNERSTONE ONDEMAND INC,
COUPA SOFTWARE INC,
CROWDSTRIKE HOLDINGS INC,
CYBERFORT SOFTWARE INC,
CYREN LTD,
DATADOG INC,
DATTO HOLDING CORP,
DEALERADVANCE INC,
DIGILITI MONEY GROUP INC,
DIGIMARC CORP,
DIGITAL TURBINE INC,
DOCUSIGN INC,
DOMO INC,
DROPBOX INC,
DUCK CREEK TECHNOL INC,
DYNATRACE INC,
E2OPEN INC,
EBIX INC,
ECOARK HOLDINGS INC,
EGAIN CORP,
ELASTIC NETWORKS INC,
ELASTIC NV,
ELCOM INTERNATIONAL INC,
ENTERPRISE INFORMATICS INC,
ENVESTNET INC,
EVERBRIDGE INC,
EVOLVING SYSTEMS INC,
EZENIA INC,
FAIR ISAAC CORP,
FALCONSTOR SOFTWARE INC,
FANTASY ACES DAILY FANTASY,
FASTLY INC,
FIREEYE INC,
FIVE9 INC,
FLEXSHARES IBOXX 3-YR TAR FD,
FLEXSHARES IBOXX 5-YR TAR FD,
FORTINET INC,
FRIENDFINDER NETWORKS INC,
GIVEMEPOWER CORP,
GRANDPARENTS.COM INC,
GREEN POLKADOT BOX INC,
GSE SYSTEMS INC,
GTY TECHNOLOGY HOLDINGS,
GUIDEWIRE SOFTWARE INC,
HOPTO INC,
HRSOFT INC,
HUBSPOT INC,
IBSG INTERNATIONAL INC,
IDEANOMICS INC,
IMAGEWARE SYSTEMS INC,
INFORMATION RESOURCES INC,
INTEGRATED BUSINESS SYS &SVC,
INTELLIGENT SYSTEM CORP,
INTELLINETICS INC,
INTERMAP TECHNOLOGIES CORP,
INTERNATIONAL LEADERS CAP CO,
INTRUSION INC,
INTUIT INC,
INUVO INC,
IRONCLAD ENCRYPTION CORP,
ISHARES IBOXX HIGH YLD CP BD,
ISHARES IBOXX INVST GR CP BD,
ISIGN SOLUTIONS INC,
ISOCIALY INC,
ISSUER DIRECT CORP,
IVEDA SOLUTIONS INC,
J2 GLOBAL INC,
JACK IN THE BOX INC,
JAMF HOLDING CORP,
JDA SOFTWARE GROUP INC,
JFROG LTD,
KIWIBOX COM INC,
KRONOS INC,
LAWSON SOFTWARE INC,
LEVELBLOX INC,
LIQUI-BOX CORP,
LIQUID HOLDINGS GROUP INC,
LIVE MICROSYSTEMS INC,
LIVEPERSON INC,
MAIL BOXES ETC,
MANHATTAN ASSOCIATES INC,
MARIN SOFTWARE INC,
MAX SOUND CORP,
MEDALLIA INC,
MEDALLIANCE INC,
MEDIATECHNICS CORP,
MGT CAPITAL INVESTMENTS INC,
MICROSOFT CORP,
MICROSTRATEGY INC,
MITEK SYSTEMS INC,
MIX TELEMATICS LTD,
MOBILEIRON INC,
MODEL N INC,
MONGODB INC,
MONSTER ARTS,
NCINO INC,
NEOMEDIA TECHNOLOGIES INC,
NETSOL TECHNOLOGIES INC,
NEW RELIC INC,
NORTONLIFELOCK INC,
NOTIFY TECHNOLOGY CORP,
NUANCE COMMUNICATIONS INC,
NUTANIX INC,
OBLONG INC,
OKTA INC,
OMTOOL LTD,
ONESPAN INC,
ORACLE CORP,
PAGERDUTY INC,
PAID INC,
PALANTIR TECHNOLOG INC,
PALO ALTO NETWORKS INC,
PARETEUM CORP,
PARK CITY GROUP INC,
PAYBOX CORP,
PAYCHEX INC,
PAYCOM SOFTWARE INC,
PAYLOCITY HOLDING CORP,
PEGASYSTEMS INC,
PHUNWARE INC,
PING IDENTITY HOLDING CORP,
PLURALSIGHT INC,
PRIMAL SOLUTIONS INC,
PROGRESS SOFTWARE CORP,
PROOFPOINT INC,
PROS HOLDINGS INC,
PTC INC,
PULSE EVOLUTION CORP,
Q2 HOLDINGS INC,
QAD INC,
QUALYS INC,
QUANTGATE SYSTEMS INC,
QUMU CORP,
RAADR INC,
RAND WORLDWIDE INC,
RAPID7 INC,
REALNETWORKS INC,
REALPAGE INC,
RIGHTSCORP INC,
RINGCENTRAL INC,
RIOT BLOCKCHAIN INC,
ROCKETFUEL BLOCKCHAIN INC,
RORINE INTL HOLDING CORP,
ROSETTA STONE INC,
SAILPOINT TECHNO HLDG,
SALESFORCE.COM INC,
SCIENT INC,
SEACHANGE INTERNATIONAL INC,
SECUREWORKS CORP,
SERVICENOW INC,
SHARPSPRING INC,
SHOTSPOTTER INC,
SIMTROL INC,
SITO MOBILE LTD,
SKYBOX INTL INC,
SLACK TECHNOLOGIES INC,
SMARTMETRIC INC,
SMARTSHEET INC,
SMITH MICRO SOFTWARE INC,
SNOWFLAKE INC,
SOFTECH INC,
SOLARWINDS CORP,
SONIC FOUNDRY INC,
SPLUNK INC,
SPROUT SOCIAL INC,
SPS COMMERCE INC,
SS&C TECHNOLOGIES HLDGS INC,
SSI INVESTMENTS II LTD,
SUMO LOGIC INC,
SVMK INC,
SYNACOR INC,
SYNCHRONOSS TECHNOLOGIES,
SYNOPSYS INC,
TAUTACHROME INC,
TELENAV INC,
TENABLE HOLDINGS INC,
TERADATA CORP,
THEGLOBE.COM INC,
TIBCO SOFTWARE INC,
TINTRI INC,
TMM INC,
TRADE DESK INC,
TWILIO INC,
TYLER TECHNOLOGIES INC,
ULTIMATE SOFTWARE GROUP INC,
UNITRONIX CORP,
UNITY SOFTWARE INC,
UPLAND SOFTWARE INC,
VANCORD CAPITAL INC,
VARONIS SYSTEMS INC,
VDO-PH INTERNATIONAL INC,
VEEVA SYSTEMS INC,
VERB TECHNOLOGY CO INC,
